"date"	"time"	"long"	"lat"	"mag"
"2013-05-13"	"13:29:00.35"	"57.6220"	"26.6600"	"3.7"
"2013-05-13"	"15:09:01.20"	"57.6680"	"26.6980"	"4.0"
"2013-05-13"	"16:21:14.50"	"57.7950"	"26.7080"	"3.5"
"2013-05-13"	"18:10:38.50"	"57.6480"	"26.9030"	"3.8"
"2013-05-13"	"18:25:58.70"	"57.7240"	"26.7490"	"3.6"
"2013-05-13"	"21:50:58.90"	"57.7990"	"26.7670"	"3.8"
"2013-05-13"	"23:19:48.20"	"57.6140"	"26.6980"	"3.4"
"2013-05-13"	"23:31:08.20"	"57.7050"	"26.4620"	"3.7"
"2013-05-14"	"04:25:00.35"	"57.6010"	"26.5180"	"4.0"
"2013-05-14"	"10:02:41.90"	"57.6370"	"26.6320"	"4.2"
"2013-05-14"	"13:43:04.40"	"57.6220"	"26.7320"	"4.2"
"2013-05-14"	"16:50:53.20"	"57.6690"	"26.6690"	"4.0"
"2013-05-14"	"22:48:36.00"	"57.7990"	"26.4560"	"3.7"
"2013-05-15"	"00:13:45.10"	"57.6790"	"26.7100"	"3.4"
"2013-05-15"	"16:09:02.50"	"57.8460"	"26.6870"	"4.8"
"2013-05-15"	"16:17:54.90"	"57.7790"	"27.0350"	"3.2"
"2013-05-15"	"16:25:46.00"	"57.9500"	"26.8760"	"3.2"
"2013-05-15"	"16:52:52.50"	"57.7830"	"26.8340"	"3.2"
"2013-05-15"	"18:51:00.16"	"57.9370"	"26.7560"	"4.2"
"2013-05-16"	"00:18:32.30"	"57.8870"	"26.7660"	"3.8"
"2013-05-16"	"01:26:30.00"	"57.8780"	"26.7630"	"3.4"
"2013-05-16"	"07:38:13.90"	"57.8780"	"26.7570"	"3.8"
"2013-05-16"	"09:32:48.50"	"57.9840"	"26.7560"	"3.4"
"2013-05-16"	"09:49:44.30"	"58.1260"	"26.8210"	"3.6"
"2013-05-16"	"10:05:15.80"	"58.0110"	"26.7370"	"3.3"
"2013-05-16"	"13:07:24.20"	"57.6800"	"26.6690"	"3.4"
"2013-05-16"	"14:11:37.40"	"57.8830"	"26.7460"	"4.1"
